Region	"OR1K: GCC"	"OR10N: GCC"	"OR10N: LLVM"	"OR10N: LLVM; HWLP, LDST"	"OR10N: LLVM; HWLP, LDST, LV32 + MISAL"	"ARM Cortex M4"
matrixAdd8	1	1	0.5496137339	1.1423728814	3.9968789014	2.07
matrixAdd16	1	0.9981368564	1.3968868521	2.7198461538	5.8675738467	2.08
matrixAdd32	1	0.9989828785	1.5175107296	2.7198461538	2.7198461538	2.08
parMatrixMul8	1	1.0635738697	1.554844168	3.6049304175	12.1522652131	1.76
parMatrixMul16	1	1.0605904042	1.5466978709	2.9637091482	8.2071117034	1.74
parMatrixMul32	1	0.994553683	1.1784151845	2.2621010404	2.2434583015	1.48
stencil	1	0.98	1.19	1.88	6.94	1.76
