bench,cfg,cfgI,cfgH,cfgM,cfgV,cfgIH,cfgIM,cfgIV,cfgHM,cfgHV,cfgVM,cfgHVM,cfgIHM,cfgIHV,cfgIVM,cfgIHVM,cortexM4
aes_cbc,40607,37206,38243,56801,53553,35383,54099,51013,54891,53051,53553,53051,35383,33419,51013,34339,42202
sha,50191,47780,43303,50191,43548,40853,47780,42198,43303,38789,43548,38789,40853,37414,42198,37414,43437
conv2d,5211,5160,4616,4295,5198,4581,4258,5162,3716,4641,4300,3728,3674,4600,4264,3696,5453
fft,43068,43063,42093,41270,43068,42093,42167,43063,40300,42093,41270,40300,41193,42093,42167,41193,57960
ipm,2552,2512,2453,2552,2552,2407,2512,2512,2453,2453,2552,2453,2407,2407,2512,2407,3103
