bench,cfg,cfgI,cfgH,cfgM,cfgV,cfgIH,cfgIM,cfgIV,cfgHM,cfgHV,cfgVM,cfgHVM,cfgIHM,cfgIHV,cfgIVM,cfgIHVM,cortexM4
fir,19437,15447,13553,17542,14409,11463,13552,12318,11649,11563,13458,10617,9563,9953,10889,9468,19122
matmul8_t,315216,247603,212726,282453,108346,178924,214835,89876,179958,79622,100154,71431,146166,70406,81683,62209,280225
matmul16_t,316260,247646,213757,283486,178029,179038,214878,142195,180985,124742,161641,108342,146281,106395,125812,90006,280477
matmul32_t,316254,247642,213758,283482,316254,179037,214879,247642,180995,213758,283482,180995,146269,179037,214879,146269,247548
